age,year,dead,pop
0,1999,126,3795762
0,2000,152,3805648
0,2001,117,4012658
0,2002,143,3951461
0,2003,137,3975871
0,2004,145,4014258
0,2005,134,4004393
0,2006,141,4041738
0,2007,131,4147997
0,2008,131,4132735
0,2009,136,4003587
0,2010,110,3944153
0,2011,124,3996537
0,2012,117,3943077
0,2013,116,3941783
0,2014,103,3948350
0,2015,100,3978038
0,2016,120,3970145
0,2017,98,3939295
1,1999,94,3785088
1,2000,112,3820582
1,2001,103,3855407
1,2002,111,4004674
1,2003,97,3936139
1,2004,105,3953063
1,2005,98,3987032
1,2006,101,3972124
1,2007,90,4002215
1,2008,102,4100756
1,2009,91,4078797
1,2010,94,3978070
1,2011,96,3969022
1,2012,111,3981523
1,2013,86,3955942
1,2014,89,3962123
1,2015,95,3968564
1,2016,97,3995008
1,2017,83,3975252
2,1999,127,3782635
2,2000,112,3790446
2,2001,125,3800096
2,2002,109,3856114
2,2003,114,4002836
2,2004,99,3933735
2,2005,123,3952632
2,2006,100,3988119
2,2007,119,3973479
2,2008,110,4004146
2,2009,109,4103002
2,2010,96,4096929
2,2011,87,3971760
2,2012,98,3979957
2,2013,96,3989135
2,2014,84,3957772
2,2015,94,3966583
2,2016,99,3992154
2,2017,97,4021775
3,1999,124,3824806
3,2000,135,3832799
3,2001,140,3802710
3,2002,119,3804336
3,2003,105,3860727
3,2004,126,4008220
3,2005,103,3943215
3,2006,121,3966022
3,2007,108,4004011
3,2008,107,3992320
3,2009,103,4025675
3,2010,111,4119040
3,2011,112,4102285
3,2012,116,3982440
3,2013,104,3989538
3,2014,88,4005190
3,2015,112,3974061
3,2016,119,3982074
3,2017,94,4006755
4,1999,136,3947253
4,2000,114,3926323
4,2001,110,3827346
4,2002,123,3812607
4,2003,127,3816873
4,2004,122,3876609
4,2005,105,4030128
4,2006,115,3970880
4,2007,106,3998260
4,2008,121,4041170
4,2009,100,4033457
4,2010,104,4063170
4,2011,103,4122454
4,2012,122,4112347
